n,career,industry,backfilled,cited_code,cited_occupation,verdict,suggested_code,reason
1,Nonprofit Operations Manager,Supply Chain & Operations,False,11-1011.00,Chief Executives,MISMATCH,11-9151.00,ops manager mapped to Chief Executives; row #44 uses the right code for the same job
2,Preschool Director,Education & Coaching,True,25-2011.00,"Preschool Teachers, Except Special Education",MISMATCH,11-9031.00,a Director mapped to the frontline teacher occupation; wages and duties differ
3,Mine Reclamation Engineer,Environment & Sustainability,True,17-2081.00,Environmental Engineers,MATCH,,mine reclamation is environmental engineering
4,Virtual Reality Content Creator,Tech & Engineering,False,27-1014.00,Special Effects Artists and Animators,MATCH,,3D immersive world building fits Special Effects Artists and Animators
5,Coaching Platform Creator,Entrepreneurship,False,15-1299.01,Web Administrators,MISMATCH,15-1252.00,"platform builder/founder mapped to Web Administrators, a maintenance role"
6,Type Designer (Typography),Design & Creative,False,27-1027.00,Set and Exhibit Designers,MISMATCH,27-1024.00,"typeface design is graphic design, not set and exhibit design"
7,Comedy Club Booker,Arts & Performance,False,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",MATCH,,booking and contract negotiation for performers
8,Strength and Conditioning Coach (College),Sports & Fitness,False,39-9031.00,Exercise Trainers and Group Fitness Instructors,CLOSE,27-2022.00,"Coaches and Scouts arguably better for college athletics, but defensible"
9,Indie Game Studio Owner,Entrepreneurship,False,27-1014.00,Special Effects Artists and Animators,MISMATCH,15-1255.00,O*NET has Video Game Designers; studio owner also implies management
10,Specialty Coffee Roaster Owner,Entrepreneurship,False,11-1011.00,Chief Executives,CLOSE,,owner-operator mapped to Chief Executives is a common convention
11,Video Game Journalist,Gaming & Esports,True,27-3023.00,"News Analysts, Reporters, and Journalists",MATCH,,games journalism is journalism
12,Water Rights Specialist,Environment & Sustainability,False,19-4099.01,Quality Control Analysts,MISMATCH,19-1031.00,"water rights negotiation is policy/resource management, not lab QC"
13,Nonprofit Researcher (Program Evaluation),Social Impact & Nonprofit,False,19-4061.00,Social Science Research Assistants,MATCH,,program evaluation research
14,Sustainable Fashion Technologist,Fashion & Beauty,False,17-2199.09,Nanosystems Engineers,MISMATCH,17-2112.00,eco-fabric development is not nanosystems engineering
