id,title,current_primary_industry,proposed_primary_industry,current_secondary_industries,proposed_secondary_industries,current_requirements,proposed_requirements,confidence,SOC_code_used,onet_occupation_title,onet_job_zone,flagged_industry_mismatch,mismatch_tier,flagged_templated_requirements,dup_shared_count,phase1_keyword_expected,requirements_rewrite_shared_by,requirements_rewrite_career_specific,notes,created_at
46b0fb62-8332-4c03-abf3-dfdd330b1082,Aerospace Supply Chain Risk Analyst,Supply Chain & Operations,,"Aviation & Transportation,Business & Finance,Tech & Engineering",,"Bachelor's degree in supply chain, business, engineering, or related field; certifications like APICS CSCP or SCPM strongly preferred; 2-3 years of supply chain experience typically required.",,NO CHANGE,13-1081.00,Logisticians,4,yes,HIGH,no,,Supply Chain & Operations,,,O*NET (Supply Chain & Operations) matches current primary — Phase 1 keyword flag looks like a false positive,2026-08-14T02:23:27.826373+00:00
47dbe29a-37c0-4a44-88fe-fa6c1742c558,Anesthesiologist Assistant,Arts & Performance,Healthcare & Medicine,"Media & Journalism,Design & Creative,Science & Research","Arts & Performance,Media & Journalism,Design & Creative,Science & Research","Master's degree in anesthesia or related field, plus certification by the National Commission for Certification of Anesthesiologist Assistants (NCCAA) and state licensure required.",,HIGH,29-1071.01,Anesthesiologist Assistants,5,yes,HIGH,no,,Healthcare & Medicine,,,"O*NET and Phase 1 keyword signal agree independently on Healthcare & Medicine; SOC major group 29 maps to Healthcare & Medicine for every occupation it contains, so the 2-digit match is coarse but not ambiguous; demoted current primary ""Arts & Performance"" to secondary rather than discarding it",2026-04-22T02:52:30.082186+00:00
fb1ec28c-e5f6-4154-aff4-b76d6cdb87ec,Artisanal Bread Baker,Entrepreneurship,,"Hospitality & Events,Design & Creative",,"No formal degree required; apprenticeship, baking courses, or self-teaching combined with food safety certification and business licensing are typical paths.",,LOW,,,,yes,HIGH,no,,Food & Culinary,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-08-07T02:54:59.539218+00:00
3300a681-5c81-4b1b-92b5-dd0ff5b8a611,Baker (Specialty/Artisanal),Food & Culinary,,"Hospitality & Events,Entrepreneurship,Design & Creative",,High school diploma or equivalent; apprenticeship or on-the-job training (1-2 years) in artisanal baking techniques; food safety certification typically required.,,NO CHANGE,51-3011.00,Bakers,,yes,HIGH,no,,Food & Culinary,,,O*NET (Food & Culinary) matches current primary — Phase 1 keyword flag looks like a false positive,2026-08-07T02:55:23.807277+00:00
24ee8891-c0c4-4ecf-940b-3a55fe4406b4,Boutique Hotel Owner,Marketing & Communications,,"Business & Finance,Design & Creative,Science & Research",,"Hospitality or business education is helpful but not required; hands-on experience in hotel operations, design, and entrepreneurship are essential to success.",,LOW,,,,yes,HIGH,no,,Hospitality & Events,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:33.295118+00:00
df44f95c-6347-4d66-95b7-9439390a5d37,Brewery Operations Manager,Entrepreneurship,Supply Chain & Operations,"Business & Finance,Hospitality & Events","Entrepreneurship,Business & Finance,Hospitality & Events",A high school diploma plus brewery experience (often starting in production roles) and knowledge of food safety certifications are typically expected; a business degree accelerates advancement.,,MEDIUM,11-3051.03,Biofuels Production Managers,4,yes,HIGH,no,,Food & Culinary,,,"CONFLICT: O*NET says Supply Chain & Operations, Phase 1 keyword implied Food & Culinary — needs a human; demoted current primary ""Entrepreneurship"" to secondary rather than discarding it",2026-08-07T02:56:26.944931+00:00
350bbc5d-cc0e-4e73-a448-e5564c8e3a8b,Cinematographer,Science & Research,,"Healthcare & Medicine,Tech & Engineering,Marketing & Communications",,"A degree in film, cinematography, or media production is common but not required; a strong portfolio of work and technical proficiency with cameras and lighting equipment are essential.",,LOW,,,,yes,HIGH,no,,Media & Journalism / Arts & Performance,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:31.845128+00:00
bb23d2d6-8e8e-4aa9-8201-e7e51a833c54,Commercial Pilot,Business & Finance,,"Tech & Engineering,Law & Government",,"You need a bachelor's degree, commercial pilot license, instrument rating, and 1,500+ flight hours before applying to airlines; additional type ratings required for specific aircraft.",,LOW,,,,yes,HIGH,no,,Aviation & Transportation / Sports & Fitness,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-07-10T03:52:31.48692+00:00
1591ef12-07e6-4edb-a780-f162a0e78e1f,Commercial Underwriter,Media & Journalism,,"Marketing & Communications,Arts & Performance,Science & Research",,"Bachelor's degree in finance, accounting, economics, or related field; some positions require certifications like Chartered Financial Analyst (CFA) or industry-specific underwriting credentials.",,LOW,,,,yes,HIGH,yes,5,Business & Finance,,,"no valid O*NET SOC in source_url — cannot verify against O*NET; templated requirements, but no O*NET data available to rewrite from",2026-04-22T02:52:32.905098+00:00
ad0affe9-9df2-4769-bcbe-43832b9a8820,Community Health Nurse,Gaming & Esports,,"Tech & Engineering,Marketing & Communications,Education & Coaching",,Bachelor's degree in nursing (BSN) and registered nurse (RN) licensure required; some positions may require a master's degree and public health certification.,,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:32.905098+00:00
a29f396d-f162-4e81-8e86-fa97359132f6,Cosmetologist,Supply Chain & Operations,,"Business & Finance,Tech & Engineering,Science & Research",,Complete a state-approved cosmetology program (typically 1-2 years) and pass your state's licensing exam to legally practice.,,LOW,,,,yes,HIGH,no,,Fashion & Beauty / Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:30.47108+00:00
5ee74b3c-1521-4cad-9e06-14827a83d93d,Cosmetology Salon Owner,Fashion & Beauty,,"Entrepreneurship,Business & Finance,Tech & Engineering,Architecture & Urban Planning",,"Complete a state-approved cosmetology program (1,000-4,000 hours), pass the cosmetology licensing exam, and gain business management experience before opening your salon.",,NO CHANGE,39-5011.00,Barbers,3,yes,HIGH,no,,Fashion & Beauty / Healthcare & Medicine,,,O*NET (Fashion & Beauty) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:31.392704+00:00
b2a55bf4-1dd8-46fa-b134-c4eb7b6cfcbf,Cost Accountant,Arts & Performance,,"Media & Journalism,Design & Creative,Science & Research",,"A bachelor's degree in accounting or finance is typically required, with CPA (Certified Public Accountant) certification often needed for advancement.",,LOW,,,,yes,HIGH,yes,13,Business & Finance,,,"no valid O*NET SOC in source_url — cannot verify against O*NET; templated requirements, but no O*NET data available to rewrite from",2026-04-22T02:52:33.675655+00:00
67a29511-97d8-4980-94fa-5ff4a9f7f119,Craft Beer Brewery Owner,Entrepreneurship,,"Business & Finance,Hospitality & Events",,"No formal degree required, but coursework in brewing science, business management, and knowledge of food safety regulations and local alcohol licensing laws are essential.",,LOW,,,,yes,HIGH,no,,Food & Culinary,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-05-07T01:56:15.564345+00:00
ba263731-3ac7-42c1-8267-0225dda1aae0,Craft Brewery Owner,Marketing & Communications,,"Business & Finance,Design & Creative,Media & Journalism",,"No specific degree required, but brewing certification (like from American Brewers Association), business knowledge, and significant industry experience as a brewer or in brewery operations are essential before launching.",,LOW,,,,yes,HIGH,no,,Food & Culinary,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:31.660242+00:00
5b45bc6c-f8c3-4a0d-863a-e24f7d742dda,Elementary School Teacher,Gaming & Esports,Education & Coaching,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning","Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Bachelor's degree in education or subject area and state teaching certification/licensure required; most states require passing a teacher certification exam.,,HIGH,25-2021.00,"Elementary School Teachers, Except Special Education",4,yes,HIGH,no,,Education & Coaching,,,"O*NET and Phase 1 keyword signal agree independently on Education & Coaching; SOC major group 25 maps to Education & Coaching for every occupation it contains, so the 2-digit match is coarse but not ambiguous; demoted current primary ""Gaming & Esports"" to secondary rather than discarding it",2026-04-22T02:52:31.392704+00:00
8e436142-8831-4949-b5f7-dfd7ecad1e1f,Emergency Room Physician,Cybersecurity,,"Tech & Engineering,Law & Government,Science & Research",,"Complete a 4-year medical degree (MD or DO), pass USMLE or COMLEX exams, and finish a 3-5 year emergency medicine residency program.",,LOW,,,,yes,HIGH,no,,Healthcare & Medicine,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:32.086589+00:00
65795be1-b10f-4e82-b9ef-fe4154c845f6,Environmental Graphic Designer (Interior),Design & Creative,,"Environment & Sustainability,Science & Research,Law & Government,Tech & Engineering",,"A portfolio and degree in graphic design, interior design, or environmental design is preferred; many positions accept strong self-taught portfolios with relevant design software skills (Adobe Creative Suite, CAD, 3D visualization tools).",,NO CHANGE,27-1027.00,Set and Exhibit Designers,5,yes,HIGH,no,,Design & Creative / Marketing & Communications / Media & Journalism,,,O*NET (Design & Creative) matches current primary — Phase 1 keyword flag looks like a false positive,2026-04-22T02:52:31.392704+00:00
9e9e2dcc-a3ed-42e5-97eb-460618afd1d4,ESL (English as Second Language) Teacher,Environment & Sustainability,,"Science & Research,Law & Government,Architecture & Urban Planning",,"Bachelor's degree in Education, English, or Linguistics; TEFL, TESOL, or TOEFL certification strongly preferred; some positions require teaching license or master's degree.",,LOW,,,,yes,HIGH,no,,Education & Coaching,,,no valid O*NET SOC in source_url — cannot verify against O*NET,2026-04-22T02:52:32.905098+00:00
4525058b-d872-4534-9265-a41b1420ca31,Event Planner,Supply Chain & Operations,,"Business & Finance,Tech & Engineering,Science & Research",,"High school diploma minimum; bachelor's degree in hospitality, business, or event management preferred; certifications such as Certified Meeting Professional (CMP) or Certified Special Events Professional (CSEP) are advantageous but not required.",,LOW,,,,yes,HIGH,yes,16,Hospitality & Events / Marketing & Communications,,,"no valid O*NET SOC in source_url — cannot verify against O*NET; templated requirements, but no O*NET data available to rewrite from",2026-04-22T02:52:32.271017+00:00
74d913e4-cc62-49e5-a1a1-0e7a52870eb8,Exhibition Graphic Designer,Design & Creative,,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",,"A portfolio demonstrating design skills is essential; a degree in graphic design, fine arts, or related field is often preferred but not always required if you have strong experience.","O*NET classifies this work under Graphic Designers (SOC 27-1024.00), Job Zone 4 — Considerable Preparation Needed. Most of these occupations require a four-year bachelor's degree, but some do not. Survey respondents reported: Bachelor's degree required 15% </. A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified. O*NET SVP range 7.0 to 8.0.",NO CHANGE,27-1024.00,Graphic Designers,4,yes,HIGH,yes,26,Design & Creative / Marketing & Communications / Media & Journalism,31,no,"O*NET (Design & Creative) matches current primary — Phase 1 keyword flag looks like a false positive; rewrite would be identical on 31 careers sharing SOC 27-1024.00 — still templated, needs per-career wording",2026-04-22T02:52:31.660242+00:00
