name,primary_industry,secondary_industries,description,traits,keywords,salary_range,crossover_label,source_url,reviewed
"Site Reliability Engineer","Tech & Engineering","","You keep websites and apps running smoothly for millions of users by building automated systems that detect and fix problems before anyone notices. When major outages happen, you're the detective who finds the root cause and prevents it from happening again.","Analytical,Problem-solver,Calm under pressure,Detail-oriented","systems,data,analytical,fast,independent,problem-solving,technical","$95k–$165k","","https://www.onetonline.org/link/summary/15-1244.00","false"
"Geospatial Information Scientist","Tech & Engineering","Science & Research,Environment & Sustainability","You transform satellite imagery and location data into maps and visualizations that help cities plan transportation, track climate change, or respond to natural disasters. Your work combines coding with geography to solve real-world spatial problems.","Analytical,Visual thinker,Detail-oriented,Curious","data,visual,analytical,systems,outdoor,independent,technical","$68k–$110k","Tech + Environment","https://www.onetonline.org/link/summary/15-1299.02","false"
"Robotics Technician","Tech & Engineering","","You install, maintain, and repair the robots used in factories, warehouses, and hospitals to keep production lines moving. When a robot arm stops working at 2 AM, you troubleshoot the sensors, wiring, and programming to get it running again.","Hands-on,Problem-solver,Technical,Patient","hands-on,systems,technical,physical,independent,problem-solving","$45k–$75k","","https://www.onetonline.org/link/summary/49-2098.00","false"
"Penetration Tester","Tech & Engineering","Business & Finance","You hack into companies' computer systems legally to find security weaknesses before criminals do. Your reports help organizations fix vulnerabilities in their websites, networks, and apps to protect customer data.","Curious,Analytical,Creative,Persistent","analytical,systems,independent,problem-solving,technical,data","$75k–$140k","","https://www.onetonline.org/link/summary/15-1212.00","false"
"Biomedical Equipment Technician","Tech & Engineering","Healthcare & Medicine","You maintain and repair the MRI machines, ventilators, and heart monitors that keep patients alive in hospitals. When life-saving equipment breaks down, doctors and nurses depend on you to fix it fast.","Detail-oriented,Calm under pressure,Technical,Responsible","hands-on,systems,technical,people,fast,problem-solving","$45k–$80k","Tech + Healthcare","https://www.onetonline.org/link/summary/49-9062.00","false"
"Data Center Technician","Tech & Engineering","","You work inside massive buildings filled with thousands of servers that power the internet, streaming services, and cloud storage. Your job involves installing hardware, monitoring temperatures, and ensuring the physical infrastructure behind apps never goes offline.","Detail-oriented,Organized,Physical,Technical","hands-on,physical,systems,technical,independent,fast","$40k–$70k","","https://www.onetonline.org/link/summary/15-1232.00","false"
"Human Factors Engineer","Tech & Engineering","Design & Creative,Science & Research","You study how humans interact with products, cockpits, medical devices, and software to make them safer and easier to use. Your research prevents pilot errors, reduces surgeon fatigue, and makes everyday technology more intuitive.","Empathetic,Analytical,Creative,Observant","people,analytical,creative,systems,data,visual","$75k–$120k","Tech + Design","https://www.onetonline.org/link/summary/17-2112.02","false"
"Telecommunications Line Installer","Tech & Engineering","","You climb poles and work in underground tunnels to install and repair the fiber optic cables that bring internet to homes, businesses, and cell towers. Your hands-on work literally connects communities to the digital world.","Physical,Brave,Problem-solver,Independent","hands-on,physical,outdoor,independent,technical","$40k–$75k","","https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm","false"
"Machine Learning Engineer","Tech & Engineering","Science & Research","You build the AI systems that power voice assistants, recommendation algorithms, and self-driving car features. Your code teaches computers to recognize patterns, make predictions, and improve themselves over time.","Analytical,Creative,Curious,Persistent","data,analytical,systems,creative,independent,technical","$100k–$180k","","https://www.onetonline.org/link/summary/15-2051.00","false"
"Acoustical Engineer","Tech & Engineering","Design & Creative,Arts & Performance","You design spaces and products to control sound—making concert halls ring beautifully, offices quiet enough to focus, and headphones cancel noise perfectly. Your physics expertise shapes how music, voices, and silence are experienced.","Creative,Analytical,Detail-oriented,Technical","creative,analytical,systems,visual,technical,independent","$70k–$115k","Tech + Arts","https://www.onetonline.org/link/summary/17-2031.00","false"
