id,title,primary_industry,secondary_industries
3300a681-5c81-4b1b-92b5-dd0ff5b8a611,Baker (Specialty/Artisanal),Food & Culinary,"Hospitality & Events,Entrepreneurship,Design & Creative"
65795be1-b10f-4e82-b9ef-fe4154c845f6,Environmental Graphic Designer (Interior),Design & Creative,"Environment & Sustainability,Science & Research,Law & Government,Tech & Engineering"
74d913e4-cc62-49e5-a1a1-0e7a52870eb8,Exhibition Graphic Designer,Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
3c26327b-edf2-452e-ac2b-24cf441edbec,Hotel Event Manager,Hospitality & Events,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
68dc2d2a-6f9e-4562-9657-ee648ae4c0cf,Music Journalist,Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Arts & Performance"
73cef218-0324-43fc-8fe7-044ced23db3b,Referee,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
e0ebf060-11ac-4490-89c4-2e0808329bc7,Referee/Umpire,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
c6b5328b-3f72-46d9-9a51-0c8cecbbaf28,Regenerative Supply Chain Manager,Supply Chain & Operations,"Environment & Sustainability,Business & Finance,Science & Research"
a2674345-7339-46b8-a901-8e7b42663fda,Social Impact Journalist,Media & Journalism,"Social Impact & Nonprofit,Education & Coaching,Law & Government,Science & Research"
c88cda3e-2c9b-4813-9a71-7e62ba1a46fb,Sound Designer (Live Theater),Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
849aeb85-bb3b-474c-9e13-192063b13abc,Sound Designer (Theater),Media & Journalism,"Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning"
566de335-26df-4561-8c19-3210af842441,Athletic Director (High School/College),Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
4f631822-995b-482c-81f1-fd9fab3c6c90,Executive Director (Small Nonprofit),Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
705f9cdd-5529-4d75-bc19-8a9f04460898,Faith-Based Nonprofit Director,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
34bbaa14-bed7-42c1-8196-592e12c1dfb5,Fashion Technical Designer,Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
92cf011d-8405-47ea-be77-1d87169447a3,Fitness Director,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
475d43d2-66d7-4259-9583-f0fec7ad72e6,Industrial Illustrator,Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
5c46f7b4-e91c-4a03-b3c4-ad1d3fb53796,International Humanitarian Aid Worker,Healthcare & Medicine,"Food & Culinary,Hospitality & Events,Business & Finance,Science & Research"
b00fcb03-37fe-49bb-a9ff-0267e0d9a20d,Makeup Educator,Fashion & Beauty,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
1586c0e9-e7f2-46ce-a2c3-e2410988d00c,Makeup Effects Artist,Fashion & Beauty,"Hospitality & Events,Food & Culinary,Marketing & Communications,Architecture & Urban Planning"
12d49303-69d0-4046-8b06-9a3c61f88231,Medical Illustrator,Arts & Performance,"Education & Coaching,Social Impact & Nonprofit,Tech & Engineering,Science & Research"
e9bb9b85-87cd-4706-b46a-7a9281a2353e,Nonprofit Board Liaison,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
795c4efa-686f-4b17-a67b-d3da47578d9b,Nonprofit Founder,Business & Finance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
201e900b-0092-48c5-88e3-2c56c248bbc8,Podcast Producer & Founder,Media & Journalism,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Entrepreneurship"
c59c9a92-47d9-44bd-bc67-9fa771298956,Scenic Painter,Arts & Performance,"Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Science & Research"
2e23adc0-16db-4d93-bafc-ad6812af427c,Sports Broadcast Analyst,Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
09130ec2-bb45-4968-80ad-724edd6a37d9,Theater Director,Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
8c8d566f-4285-4160-bdee-1fd85fcd4963,Youth Athletic Director,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
057d33ed-e6ae-45a3-9ae0-74d086a29c3f,Artistic Director,Arts & Performance,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
797f4d31-a133-4090-925b-9f082c549c40,Arts Grant Administrator,Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
7df04d1d-1592-4e1d-93e0-8d1c72ed95fe,Badminton Coach,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Media & Journalism"
d011e4b8-7eb3-4a1f-9814-aaaa2214042d,Book Editor (Trade Publishing),Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering"
5aa6010e-263a-4b78-a056-bde1159906b5,Compliance Officer,Law & Government,"Education & Coaching,Social Impact & Nonprofit,Tech & Engineering,Science & Research"
c7936700-3e3e-4607-9113-8e1fcd90d735,CrossFit Coach,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
eb3c8236-57eb-47ee-9caf-1ff79e823f63,Editorial Director,Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
ddc934d7-12a8-425a-bb86-5c1f63eae865,Hospital Administrator,Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit"
6cb37cca-e4a2-4826-bd97-2dc597d3020f,Hospital Chaplain,Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
7379b7a8-8fe7-4c5c-b4b6-ee8a9c09e3c1,Live Performance Rights Manager,Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
b8790739-db13-4b86-bc5c-bd9efdf7fc33,Lodging Manager,Hospitality & Events,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
2fef7a85-61a1-4525-a43c-e3ed08596aca,Magazine Editor-in-Chief,Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering"
42befc96-dbef-4ff9-acca-d8ce428fa9bc,Marathon Coach,Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
ec30490d-ad45-422e-94a6-36174fe224c9,Media Researcher,Media & Journalism,"Social Impact & Nonprofit,Education & Coaching,Law & Government,Science & Research"
8a7b8a97-d09e-4766-a214-4640b6f7df48,Print Designer,Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
67ecd732-aed6-44f9-a90d-b0dec8512408,Publication Designer,Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
38dd3be2-42b9-4746-a7b0-41ce36689b12,Puppetry Director,Arts & Performance,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
31155388-b1c3-425f-b2aa-39bb30739595,Spa Director,Hospitality & Events,"Fashion & Beauty,Design & Creative,Marketing & Communications,Healthcare & Medicine"
65caa85a-ff60-4e50-9f02-ef4d1fda08b6,Arts Accessibility Coordinator,Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
412fc54a-9d79-4681-8721-47db747da8f4,Bridal Stylist,Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
28c669b2-396d-4618-80ff-c9f4284f989c,Broadcasting Director,Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Marketing & Communications"
4fdd3728-84d4-40b8-ae8e-1d1afbff3c81,Color Grading Technician (Beauty Retail),Media & Journalism,"Fashion & Beauty,Design & Creative,Tech & Engineering"
4134df2c-97ab-40cf-8c3c-de9d9ff4f8a7,Debate Tournament Director,Supply Chain & Operations,"Education & Coaching,Hospitality & Events,Law & Government"
50e02e94-377d-426e-b983-82e3a5f6c711,Destination Wedding Designer,Supply Chain & Operations,"Hospitality & Events,Design & Creative,Entrepreneurship"
be9bb7dd-a5b2-49db-8541-a4dd6bbebbdc,Development Coordinator,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
9910e037-04c0-4d47-8b92-939d135cbe17,Documentary Distributor,Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications"
c72e4ab1-5f4d-407e-bf1b-bab5aacc74a0,Eyebrow Specialist,Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering"
c36b0de3-69e7-4bf2-9722-813eab8b0bbf,Footwear Designer,Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
6b3fd27c-d81a-4e17-9b8d-597033114c4f,Growth Hacker,Marketing & Communications,"Cybersecurity,Tech & Engineering,Law & Government,Science & Research"
8621f068-4dd2-4265-929a-572b6b5f6406,High School Principal,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Law & Government"
7e18a4bc-ec97-431a-a1d2-ea098b95216f,Homelessness Services Coordinator,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
267ae409-c75c-40fe-b2f2-1b8e50de2c88,Human Trafficking Prevention Coordinator,Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Cybersecurity"
35ff7cda-81c9-43fb-aefc-458d9e9d50c4,Incubator Program Director,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Entrepreneurship"
3f230d4a-c3c5-4fc6-b8eb-95a3caafcb63,K-12 School Principal,Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Law & Government"
6207a784-617a-4422-a68c-f0bfaa9e3716,Live Streaming Production Manager,Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
a8037472-24c4-48b3-aefa-eb4ac4299140,Municipal Planning Director,Architecture & Urban Planning,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
2b53168c-6cb7-47c9-a832-90e7385d70ee,Personal Training Business Owner,Sports & Fitness,"Marketing & Communications,Business & Finance,Design & Creative,Science & Research"
e306a29d-e82b-4337-8bec-071433f2f513,Study Abroad Program Coordinator,Supply Chain & Operations,"Education & Coaching,Hospitality & Events,Business & Finance"
