desc_similarity,career_a,primary_a,career_b,primary_b,secondary_a,secondary_b,salary_a,salary_b
1.0,Mergers & Acquisitions Specialist,Science & Research,Merger & Acquisition Specialist,Business & Finance,"Healthcare & Medicine,Tech & Engineering","Law & Government,Entrepreneurship",$100k–$200k,$85k–$175k
1.0,Color Analysis Specialist,Fashion & Beauty,Color Analysis Consultant,Supply Chain & Operations,"Design & Creative,Entrepreneurship","Business & Finance,Tech & Engineering,Fashion & Beauty",$35k–$65k,$35k–$65k
1.0,Backend Software Engineer,Tech & Engineering,Backend Developer,Science & Research,"Business & Finance,Science & Research","Healthcare & Medicine,Tech & Engineering",$70k–$145k,$65k–$130k
0.955,Conference Logistics Manager,Hospitality & Events,Conference Manager,Supply Chain & Operations,"Business & Finance,Education & Coaching","Business & Finance,Tech & Engineering,Science & Research",$45k–$75k,$45k–$75k
0.952,Montessori Directress/Director,Education & Coaching,Montessori Instructor,Environment & Sustainability,"Social Impact & Nonprofit,Entrepreneurship","Science & Research,Law & Government,Education & Coaching",$30k–$45k,$30k–$50k
0.944,Referee,Gaming & Esports,Referee/Umpire (Professional),Sports & Fitness,"Tech & Engineering,Marketing & Communications,Science & Research","Education & Coaching,Hospitality & Events",$30k–$65k,$30k–$75k
0.941,Fact Checker (Digital Media),Science & Research,Fact-Checker (Media Literacy),Media & Journalism,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning","Education & Coaching,Law & Government",$45k–$75k,$45k–$75k
0.9,Clinical Laboratory Technologist,Science & Research,Medical Technologist (Laboratory),Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$38k–$58k,$38k–$58k
0.882,Personal Stylist (Professional Wardrobe),Fashion & Beauty,Wardrobe Stylist,Supply Chain & Operations,"Business & Finance,Entrepreneurship","Business & Finance,Tech & Engineering,Fashion & Beauty",$35k–$75k,$35k–$75k
0.867,Nonprofit Volunteer Manager,Social Impact & Nonprofit,Volunteer Engagement Manager,Gaming & Esports,"Education & Coaching,Law & Government","Tech & Engineering,Marketing & Communications,Science & Research",$38k–$58k,$38k–$58k
0.857,Quality Assurance (QA) Engineer,Tech & Engineering,Software Quality Assurance Engineer,Science & Research,"Business & Finance,Science & Research","Healthcare & Medicine,Tech & Engineering",$60k–$95k,$60k–$110k
0.85,Clinical Laboratory Technologist,Science & Research,Medical Lab Technologist,Healthcare & Medicine,"Healthcare & Medicine,Education & Coaching","Science & Research,Tech & Engineering",$38k–$58k,$38k–$58k
