tier,score,id,name,keyword,found_in,primary_industry,secondary_industries,expected_any_of,created_at,description
HIGH,20,46b0fb62-8332-4c03-abf3-dfdd330b1082,Aerospace Supply Chain Risk Analyst,Supply Chain,title,Aviation & Transportation,"Business & Finance,Tech & Engineering",Supply Chain & Operations,2026-08-14T02:23:27.826373+00:00,"You identify and mitigate supply chain risks for aircraft parts and aerospace systems, protecting billion-dollar projects from delays, quality issues, and supplier disruptions."
HIGH,20,47dbe29a-37c0-4a44-88fe-fa6c1742c558,Anesthesiologist Assistant,Anesthesiologist,title,Arts & Performance,"Media & Journalism,Design & Creative,Science & Research",Healthcare & Medicine,2026-04-22T02:52:30.082186+00:00,"You work alongside anesthesiologists to put patients safely to sleep before surgery and monitor them throughout procedures. You adjust medication levels, manage airways, and respond to emergencies in the operating room."
HIGH,20,fb1ec28c-e5f6-4154-aff4-b76d6cdb87ec,Artisanal Bread Baker,Baker,title,Entrepreneurship,"Hospitality & Events,Design & Creative",Food & Culinary,2026-08-07T02:54:59.539218+00:00,"You wake before dawn to mix, knead, and bake artisanal loaves from scratch, building a loyal customer base through farmer's markets, your own storefront, or wholesale partnerships while controlling every aspect of your craft and business."
HIGH,20,3300a681-5c81-4b1b-92b5-dd0ff5b8a611,Baker (Specialty/Artisanal),Baker,title,Hospitality & Events,"Entrepreneurship,Design & Creative",Food & Culinary,2026-08-07T02:55:23.807277+00:00,"You craft small-batch breads, pastries, and desserts by hand, experimenting with heirloom grains and innovative flavors to delight customers and build a loyal following."
HIGH,20,24ee8891-c0c4-4ecf-940b-3a55fe4406b4,Boutique Hotel Owner,Hotel,title,Marketing & Communications,"Business & Finance,Design & Creative,Science & Research",Hospitality & Events,2026-04-22T02:52:33.295118+00:00,"You design and run a unique hotel experience, from curating every detail of the property's aesthetic and service to managing staff, marketing, and finances while creating memorable stays for guests."
HIGH,20,df44f95c-6347-4d66-95b7-9439390a5d37,Brewery Operations Manager,Brewery,title,Entrepreneurship,"Business & Finance,Hospitality & Events",Food & Culinary,2026-08-07T02:56:26.944931+00:00,"You oversee every aspect of brewery production—from fermentation schedules to quality control to team management—ensuring consistent, high-quality beer reaches customers while keeping operations efficient and profitable."
HIGH,20,350bbc5d-cc0e-4e73-a448-e5564c8e3a8b,Cinematographer,Cinematograph,title,Science & Research,"Healthcare & Medicine,Tech & Engineering,Marketing & Communications",Media & Journalism / Arts & Performance,2026-04-22T02:52:31.845128+00:00,"You capture compelling visual stories through camera work, lighting, and framing that bring scripts to life for films, TV shows, commercials, and digital content."
HIGH,20,bb23d2d6-8e8e-4aa9-8201-e7e51a833c54,Commercial Pilot,Pilot,title,Business & Finance,"Tech & Engineering,Law & Government",Aviation & Transportation / Sports & Fitness,2026-07-10T03:52:31.48692+00:00,"You command multi-million dollar aircraft across continents, making split-second decisions that safely transport hundreds of passengers while navigating weather, air traffic, and complex flight systems."
HIGH,20,1591ef12-07e6-4edb-a780-f162a0e78e1f,Commercial Underwriter,Underwriter,title,Media & Journalism,"Marketing & Communications,Arts & Performance,Science & Research",Business & Finance,2026-04-22T02:52:32.905098+00:00,"You analyze financial data and assess risk to decide whether companies and individuals qualify for loans, insurance, or credit, protecting your employer from costly defaults."
HIGH,20,ad0affe9-9df2-4769-bcbe-43832b9a8820,Community Health Nurse,Nurse,title,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Education & Coaching",Healthcare & Medicine,2026-04-22T02:52:32.905098+00:00,"You visit patients in their homes and community centers to provide health education, manage chronic conditions, and connect vulnerable populations to medical care—directly improving health outcomes for the people who need support most."
