id,title,from_primary,from_secondary,to_primary,to_secondary
46b0fb62-8332-4c03-abf3-dfdd330b1082,Aerospace Supply Chain Risk Analyst,Aviation & Transportation,"Business & Finance,Tech & Engineering",Supply Chain & Operations,"Aviation & Transportation,Business & Finance,Tech & Engineering"
3300a681-5c81-4b1b-92b5-dd0ff5b8a611,Baker (Specialty/Artisanal),Hospitality & Events,"Entrepreneurship,Design & Creative",Food & Culinary,"Hospitality & Events,Entrepreneurship,Design & Creative"
5ee74b3c-1521-4cad-9e06-14827a83d93d,Cosmetology Salon Owner,Entrepreneurship,"Business & Finance,Tech & Engineering,Architecture & Urban Planning",Fashion & Beauty,"Entrepreneurship,Business & Finance,Tech & Engineering,Architecture & Urban Planning"
65795be1-b10f-4e82-b9ef-fe4154c845f6,Environmental Graphic Designer (Interior),Environment & Sustainability,"Science & Research,Law & Government,Tech & Engineering",Design & Creative,"Environment & Sustainability,Science & Research,Law & Government,Tech & Engineering"
74d913e4-cc62-49e5-a1a1-0e7a52870eb8,Exhibition Graphic Designer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
3c26327b-edf2-452e-ac2b-24cf441edbec,Hotel Event Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hospitality & Events,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
68dc2d2a-6f9e-4562-9657-ee648ae4c0cf,Music Journalist,Science & Research,"Healthcare & Medicine,Tech & Engineering,Arts & Performance",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Arts & Performance"
73cef218-0324-43fc-8fe7-044ced23db3b,Referee,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
e0ebf060-11ac-4490-89c4-2e0808329bc7,Referee/Umpire,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
c6b5328b-3f72-46d9-9a51-0c8cecbbaf28,Regenerative Supply Chain Manager,Environment & Sustainability,"Business & Finance,Science & Research",Supply Chain & Operations,"Environment & Sustainability,Business & Finance,Science & Research"
6bc29fb9-fc24-482b-b6b1-b177aa8a69e3,Renewable Energy Supply Chain Manager,Environment & Sustainability,"Business & Finance,Tech & Engineering",Supply Chain & Operations,"Environment & Sustainability,Business & Finance,Tech & Engineering"
a2674345-7339-46b8-a901-8e7b42663fda,Social Impact Journalist,Social Impact & Nonprofit,"Education & Coaching,Law & Government,Science & Research",Media & Journalism,"Social Impact & Nonprofit,Education & Coaching,Law & Government,Science & Research"
c88cda3e-2c9b-4813-9a71-7e62ba1a46fb,Sound Designer (Live Theater),Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
849aeb85-bb3b-474c-9e13-192063b13abc,Sound Designer (Theater),Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning",Media & Journalism,"Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Architecture & Urban Planning"
3a08ce0b-0df0-496d-8f82-e95e08b341a3,Sustainable Fashion Brand Strategist,Fashion & Beauty,"Entrepreneurship,Environment & Sustainability",Marketing & Communications,"Fashion & Beauty,Entrepreneurship,Environment & Sustainability"
566de335-26df-4561-8c19-3210af842441,Athletic Director (High School/College),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Education & Coaching,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
4f631822-995b-482c-81f1-fd9fab3c6c90,Executive Director (Small Nonprofit),Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
705f9cdd-5529-4d75-bc19-8a9f04460898,Faith-Based Nonprofit Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
34bbaa14-bed7-42c1-8196-592e12c1dfb5,Fashion Technical Designer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
92cf011d-8405-47ea-be77-1d87169447a3,Fitness Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
3f991118-d5c9-481a-a66f-2548e745488b,Hospitality Sustainability Auditor,Hospitality & Events,"Environment & Sustainability,Supply Chain & Operations",Law & Government,"Hospitality & Events,Environment & Sustainability,Supply Chain & Operations"
475d43d2-66d7-4259-9583-f0fec7ad72e6,Industrial Illustrator,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
5c46f7b4-e91c-4a03-b3c4-ad1d3fb53796,International Humanitarian Aid Worker,Food & Culinary,"Hospitality & Events,Business & Finance,Science & Research",Healthcare & Medicine,"Food & Culinary,Hospitality & Events,Business & Finance,Science & Research"
fc946614-8316-47be-bf30-ef5901dcedda,Land Surveyor,Law & Government,"Science & Research,Tech & Engineering",Architecture & Urban Planning,"Law & Government,Science & Research,Tech & Engineering"
b00fcb03-37fe-49bb-a9ff-0267e0d9a20d,Makeup Educator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Fashion & Beauty,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
1586c0e9-e7f2-46ce-a2c3-e2410988d00c,Makeup Effects Artist,Hospitality & Events,"Food & Culinary,Marketing & Communications,Architecture & Urban Planning",Fashion & Beauty,"Hospitality & Events,Food & Culinary,Marketing & Communications,Architecture & Urban Planning"
5bdf5e87-9dcb-413a-ba5f-6508dce23ba7,Marketplace Sustainability Platform Founder,Entrepreneurship,"Tech & Engineering,Social Impact & Nonprofit",Business & Finance,"Entrepreneurship,Tech & Engineering,Social Impact & Nonprofit"
12d49303-69d0-4046-8b06-9a3c61f88231,Medical Illustrator,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",Arts & Performance,"Education & Coaching,Social Impact & Nonprofit,Tech & Engineering,Science & Research"
e9bb9b85-87cd-4706-b46a-7a9281a2353e,Nonprofit Board Liaison,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Social Impact & Nonprofit,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
795c4efa-686f-4b17-a67b-d3da47578d9b,Nonprofit Founder,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Business & Finance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
201e900b-0092-48c5-88e3-2c56c248bbc8,Podcast Producer & Founder,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Entrepreneurship",Media & Journalism,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Entrepreneurship"
c59c9a92-47d9-44bd-bc67-9fa771298956,Scenic Painter,Sports & Fitness,"Healthcare & Medicine,Marketing & Communications,Science & Research",Arts & Performance,"Sports & Fitness,Healthcare & Medicine,Marketing & Communications,Science & Research"
2e23adc0-16db-4d93-bafc-ad6812af427c,Sports Broadcast Analyst,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Media & Journalism,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
413fac3f-52d4-4a08-aac3-de26822674cb,Sustainable Fashion Designer,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
09130ec2-bb45-4968-80ad-724edd6a37d9,Theater Director,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
8c8d566f-4285-4160-bdee-1fd85fcd4963,Youth Athletic Director,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
057d33ed-e6ae-45a3-9ae0-74d086a29c3f,Artistic Director,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
797f4d31-a133-4090-925b-9f082c549c40,Arts Grant Administrator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Architecture & Urban Planning",Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Architecture & Urban Planning"
7df04d1d-1592-4e1d-93e0-8d1c72ed95fe,Badminton Coach,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Media & Journalism",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Media & Journalism"
d011e4b8-7eb3-4a1f-9814-aaaa2214042d,Book Editor (Trade Publishing),Science & Research,"Healthcare & Medicine,Tech & Engineering",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering"
5aa6010e-263a-4b78-a056-bde1159906b5,Compliance Officer,Education & Coaching,"Social Impact & Nonprofit,Tech & Engineering,Science & Research",Law & Government,"Education & Coaching,Social Impact & Nonprofit,Tech & Engineering,Science & Research"
c7936700-3e3e-4607-9113-8e1fcd90d735,CrossFit Coach,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
eb3c8236-57eb-47ee-9caf-1ff79e823f63,Editorial Director,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
3e06eadc-62c1-4ccf-9135-37cd4eb9fe09,Food Tech Innovator,Entrepreneurship,"Science & Research,Environment & Sustainability",Supply Chain & Operations,"Entrepreneurship,Science & Research,Environment & Sustainability"
ddc934d7-12a8-425a-bb86-5c1f63eae865,Hospital Administrator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit",Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Social Impact & Nonprofit"
6cb37cca-e4a2-4826-bd97-2dc597d3020f,Hospital Chaplain,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Healthcare & Medicine,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
7379b7a8-8fe7-4c5c-b4b6-ee8a9c09e3c1,Live Performance Rights Manager,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
b8790739-db13-4b86-bc5c-bd9efdf7fc33,Lodging Manager,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Hospitality & Events,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
2fef7a85-61a1-4525-a43c-e3ed08596aca,Magazine Editor-in-Chief,Science & Research,"Healthcare & Medicine,Tech & Engineering",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering"
42befc96-dbef-4ff9-acca-d8ce428fa9bc,Marathon Coach,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Sports & Fitness,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
ec30490d-ad45-422e-94a6-36174fe224c9,Media Researcher,Social Impact & Nonprofit,"Education & Coaching,Law & Government,Science & Research",Media & Journalism,"Social Impact & Nonprofit,Education & Coaching,Law & Government,Science & Research"
8a7b8a97-d09e-4766-a214-4640b6f7df48,Print Designer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
67ecd732-aed6-44f9-a90d-b0dec8512408,Publication Designer,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Design & Creative,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
fee8b398-e0f8-4673-b134-4efe6305bdf3,Publishing Acquisitions Editor,Entrepreneurship,"Business & Finance,Tech & Engineering",Media & Journalism,"Entrepreneurship,Business & Finance,Tech & Engineering"
38dd3be2-42b9-4746-a7b0-41ce36689b12,Puppetry Director,Science & Research,"Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning",Arts & Performance,"Science & Research,Healthcare & Medicine,Tech & Engineering,Architecture & Urban Planning"
d6ec233a-e9bf-4ccf-b3ed-be474e41edfe,Signage and Wayfinding Designer,Healthcare & Medicine,"Science & Research,Tech & Engineering,Architecture & Urban Planning",Design & Creative,"Healthcare & Medicine,Science & Research,Tech & Engineering,Architecture & Urban Planning"
31155388-b1c3-425f-b2aa-39bb30739595,Spa Director,Fashion & Beauty,"Design & Creative,Marketing & Communications,Healthcare & Medicine",Hospitality & Events,"Fashion & Beauty,Design & Creative,Marketing & Communications,Healthcare & Medicine"
65caa85a-ff60-4e50-9f02-ef4d1fda08b6,Arts Accessibility Coordinator,Gaming & Esports,"Tech & Engineering,Marketing & Communications,Science & Research",Arts & Performance,"Gaming & Esports,Tech & Engineering,Marketing & Communications,Science & Research"
412fc54a-9d79-4681-8721-47db747da8f4,Bridal Stylist,Supply Chain & Operations,"Business & Finance,Tech & Engineering,Science & Research",Fashion & Beauty,"Supply Chain & Operations,Business & Finance,Tech & Engineering,Science & Research"
28c669b2-396d-4618-80ff-c9f4284f989c,Broadcasting Director,Science & Research,"Healthcare & Medicine,Tech & Engineering,Marketing & Communications",Media & Journalism,"Science & Research,Healthcare & Medicine,Tech & Engineering,Marketing & Communications"
8b380c8b-4085-487f-b2ec-8b2b6dde3369,Climate Fintech Founder,Entrepreneurship,"Tech & Engineering,Environment & Sustainability",Business & Finance,"Entrepreneurship,Tech & Engineering,Environment & Sustainability"
