career,industry,listed_salary,floor_k,ceiling_k,seniority_tier,expected_min_floor_k,shortfall_k,created
Cloud Solutions Architect,Architecture & Urban Planning,$30k–$45k,30,45,senior_ic,75,45,2026-04-22T02:52:31.392704+00:00
Cruise Activities Director,Hospitality & Events,$30k–$45k,30,45,executive,75,45,2026-08-07T02:59:03.764387+00:00
Editorial Director,Science & Research,$30k–$45k,30,45,executive,75,45,2026-04-22T02:52:33.295118+00:00
Montessori Directress/Director,Education & Coaching,$30k–$45k,30,45,executive,75,45,2026-07-06T04:06:27.760021+00:00
Resort Activities Director,Hospitality & Events,$30k–$45k,30,45,executive,75,45,2026-04-22T02:52:31.392704+00:00
Resort Activity Director,Hospitality & Events,$30k–$45k,30,45,executive,75,45,2026-06-15T02:44:28.273474+00:00
Youth Soccer Director,Sports & Fitness,$30k–$55k,30,55,executive,75,45,2026-06-19T02:54:58.700382+00:00
Aquatics Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-06-22T03:28:03.230604+00:00
Banquet Director,Hospitality & Events,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:29.856816+00:00
Choreography Director,Arts & Performance,$35k–$75k,35,75,executive,75,40,2026-07-16T03:13:56.837893+00:00
Costume Director,Arts & Performance,$35k–$75k,35,75,executive,75,40,2026-05-02T01:49:21.38929+00:00
Cruise Ship Director,Supply Chain & Operations,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:29.856816+00:00
Ensemble Director,Supply Chain & Operations,$35k–$75k,35,75,executive,75,40,2026-04-22T02:52:33.087307+00:00
Entertainment Director (Cruise/Resort),Hospitality & Events,$35k–$65k,35,65,executive,75,40,2026-05-18T02:14:18.914248+00:00
Fitness Director (Gym),Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-05-14T02:09:21.146335+00:00
Fitness Director (Gym/Facility),Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-06-21T02:42:17.061131+00:00
Hotel Housekeeping Director,Hospitality & Events,$35k–$55k,35,55,executive,75,40,2026-05-14T02:11:28.2681+00:00
Housekeeping Director,Hospitality & Events,$35k–$65k,35,65,executive,75,40,2026-05-19T02:12:50.623461+00:00
Improvisation Director (Theater),Arts & Performance,$35k–$65k,35,65,executive,75,40,2026-05-05T01:54:09.383646+00:00
Marching Arts Director,Arts & Performance,$35k–$75k,35,75,executive,75,40,2026-07-11T03:18:12.760281+00:00
Outdoor Education Director,Education & Coaching,$35k–$55k,35,55,executive,75,40,2026-04-22T02:52:29.856816+00:00
Puppet Theater Director,Arts & Performance,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:31.660242+00:00
Puppetry Director,Science & Research,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:33.087307+00:00
Puppetry Director (Theater),Arts & Performance,$35k–$65k,35,65,executive,75,40,2026-04-29T01:59:39.056107+00:00
Puppetry Performance Director,Arts & Performance,$35k–$65k,35,65,executive,75,40,2026-07-27T03:39:45.262447+00:00
Science Camp Director,Education & Coaching,$35k–$65k,35,65,executive,75,40,2026-04-26T06:32:31.240102+00:00
Ski Patrol Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:30.082186+00:00
Strength & Conditioning Director,Sports & Fitness,$35k–$75k,35,75,executive,75,40,2026-05-18T02:14:53.945724+00:00
Strength and Conditioning Director (College),Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-05-04T01:53:27.242833+00:00
Theater Director,Science & Research,$35k–$85k,35,85,executive,75,40,2026-04-22T02:52:29.646164+00:00
Theater Technical Director,Arts & Performance,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:29.646164+00:00
Wedding Venue Director,Hospitality & Events,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:30.082186+00:00
Youth Athletic Director,Gaming & Esports,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:33.675655+00:00
Youth Development Sports Director,Sports & Fitness,$35k–$60k,35,60,executive,75,40,2026-07-05T04:01:27.604379+00:00
Youth Program Director,Gaming & Esports,$35k–$55k,35,55,executive,75,40,2026-04-22T02:52:30.082186+00:00
Youth Soccer Academy Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:32.905098+00:00
Youth Sports Director,Gaming & Esports,$35k–$65k,35,65,executive,75,40,2026-04-22T02:52:34.465719+00:00
Youth Sports League Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-05-11T02:06:35.705035+00:00
Youth Sports Organization Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-05-04T01:53:30.426049+00:00
Youth Sports Program Director,Sports & Fitness,$35k–$65k,35,65,executive,75,40,2026-05-18T02:14:50.731876+00:00
Early Childhood Director,Education & Coaching,$37k–$63k,37,63,executive,75,38,2026-06-04T02:41:03.906449+00:00
Museum Education Director,Education & Coaching,$37k–$63k,37,63,executive,75,38,2026-07-09T03:51:42.128498+00:00
Volunteer Programs Director,Gaming & Esports,$37k–$63k,37,63,executive,75,38,2026-04-22T02:52:34.465719+00:00
Youth Mentoring Program Director,Social Impact & Nonprofit,$37k–$63k,37,63,executive,75,38,2026-05-07T01:57:59.924819+00:00
Youth Mentorship Program Director,Social Impact & Nonprofit,$37k–$63k,37,63,executive,75,38,2026-04-22T03:27:50.202227+00:00
Youth Services Director,Social Impact & Nonprofit,$37k–$63k,37,63,executive,75,38,2026-04-28T08:00:19.621663+00:00
Faith-Based Community Outreach Director,Gaming & Esports,$38k–$58k,38,58,executive,75,37,2026-04-22T02:52:32.271017+00:00
Youth Mentorship Director,Social Impact & Nonprofit,$38k–$58k,38,58,executive,75,37,2026-05-03T01:52:25.229174+00:00
Artistic Director (Dance Company),Arts & Performance,$40k–$75k,40,75,executive,75,35,2026-07-01T04:23:37.820995+00:00
